loss,accuracy,val_loss,val_accuracy
0.5968677401542664,0.8489454388618469,0.30418992042541504,0.9146000146865845
0.28475552797317505,0.9181272983551025,0.24110962450504303,0.9344000220298767
0.23303528130054474,0.9336363673210144,0.20693059265613556,0.9417999982833862
0.198853000998497,0.9433090686798096,0.17671361565589905,0.9508000016212463
0.1737200766801834,0.9500908851623535,0.15938733518123627,0.9553999900817871
0.15414714813232422,0.956745445728302,0.1451072096824646,0.9589999914169312
0.13832052052021027,0.9610727429389954,0.13335929811000824,0.9611999988555908
0.1252838373184204,0.9645090699195862,0.12413544952869415,0.965399980545044
0.11374037712812424,0.9675090909004211,0.11549168825149536,0.9674000144004822
0.1036231517791748,0.9711272716522217,0.10855546593666077,0.968999981880188
0.09577364474534988,0.9735817909240723,0.10313776880502701,0.9706000089645386
0.08853022754192352,0.9753636121749878,0.09855619817972183,0.9715999960899353
0.08176501095294952,0.977472722530365,0.09287691116333008,0.9739999771118164
0.07631872594356537,0.97930908203125,0.0903322771191597,0.9751999974250793
0.07124055922031403,0.9805454611778259,0.08542869240045547,0.9761999845504761
0.06602044403553009,0.9823272824287415,0.08305208384990692,0.9775999784469604
0.06145663559436798,0.9835272431373596,0.08323881030082703,0.9764000177383423
0.05773038789629936,0.9844181537628174,0.07931177318096161,0.9768000245094299
0.05402486398816109,0.9859636425971985,0.07757876068353653,0.9765999913215637
0.0507098026573658,0.9862909317016602,0.07551819086074829,0.9796000123023987
